Corps de métier;Sous-métier (dépannage);Code pack;Nom du pack;Catégorie;Nb lignes
Calorifugeage;;CAL-PACK-001;Calorifugeage réseaux chauffage et ECS;CHANGEMENT;20
Calorifugeage;;CAL-PACK-002;Calorifugeage réseaux acier DN20–DN80;CHANGEMENT;20
Calorifugeage;;CAL-PACK-003;Calorifugeage réseau vapeur haute température;CHANGEMENT;20
Calorifugeage;;CAL-PACK-004;Calorifugeage réseau PAC / frigorifique;CHANGEMENT;20
Calorifugeage;;CAL-PACK-005;Calorifugeage ballons ECS / réservoirs;CHANGEMENT;20
Calorifugeage;;CAL-PACK-006;Calorifugeage vannes et accessoires;CHANGEMENT;20
Calorifugeage;;CAL-PACK-007;Calorifugeage gaines ventilation / CTA;CHANGEMENT;20
Calorifugeage;;CAL-PACK-008;Calorifugeage chaufferie complète;CHANGEMENT;20
Calorifugeage;;CAL-PACK-009;Dépose + repose calorifugeage existant;CHANGEMENT;20
Calorifugeage;;CAL-PACK-010;Calorifugeage réseaux extérieurs (UV/intempéries);CHANGEMENT;20
Calorifugeage;;CAL-PACK-011;Calorifugeage gros réseaux DN100 à DN320;CHANGEMENT;20
Calorifugeage;;CAL-PACK-012;Calorifugeage sous-station thermique complet;CHANGEMENT;20
Calorifugeage;;CAL-PACK-013;Calorifugeage complet finition aluminium;CHANGEMENT;20
Calorifugeage;;CAL-PACK-014;Calorifugeage complet finition PVC;CHANGEMENT;20
Calorifugeage;;CAL-PACK-015;Matelas isolants points singuliers DN20 à DN200;CHANGEMENT;20
Calorifugeage;;CAL-PACK-016;Réseau enterré pré-isolé (Calpex / Uponor / Logstor);CHANGEMENT;20
Calorifugeage;;CAL-PACK-017;Calorifugeage réseau solaire haute température;CHANGEMENT;20
Calorifugeage;;CAL-PACK-018;Calorifugeage CTA double flux complète;CHANGEMENT;20
Calorifugeage;;CAL-PACK-019;Calorifugeage réseau vapeur + condensats double enveloppe;CHANGEMENT;20
Carrelage – Sols & Murs;;CAR-PACK-001;Carrelage format standard;CHANGEMENT;20
Carrelage – Sols & Murs;;CAR-PACK-002;Carrelage grand format;CHANGEMENT;20
Carrelage – Sols & Murs;;CAR-PACK-003;Carrelage imitation bois;CHANGEMENT;20
Carrelage – Sols & Murs;;CAR-PACK-004;Carrelage extérieur terrasse;CHANGEMENT;20
Carrelage – Sols & Murs;;CAR-PACK-005;Plinthes carrelage;CHANGEMENT;20
Carrelage – Sols & Murs;;CAR-PACK-007;Grands carreaux muraux;CHANGEMENT;20
Carrelage – Sols & Murs;;CAR-PACK-008;Mosaïque murale / sol douche;CHANGEMENT;20
Carrelage – Sols & Murs;;CAR-PACK-010;Habillage complet douche carrelée;CHANGEMENT;20
Carrelage – Sols & Murs;;CAR-PACK-011;Carrelage sur ancien carrelage;CHANGEMENT;20
Carrelage – Sols & Murs;;CAR-PACK-012;Dépose + nouveau carrelage sol;CHANGEMENT;20
Carrelage – Sols & Murs;;CAR-PACK-013;Remplacement faïence murale;CHANGEMENT;20
Carrelage – Sols & Murs;;CAR-PACK-015;Carreaux ciment artisanaux;CHANGEMENT;20
Carrelage – Sols & Murs;;CAR-PACK-017;Carrelage piscine (bassin + margelles);CHANGEMENT;20
Carrelage – Sols & Murs;;CAR-PACK-018;Carrelage pierre naturelle premium;CHANGEMENT;20
Carrelage – Sols & Murs;;CAR-PACK-006;Faïence murale standard;INSTALLATION;20
Carrelage – Sols & Murs;;CAR-PACK-009;Crédence cuisine carrelée;INSTALLATION;20
Carrelage – Sols & Murs;;CAR-PACK-014;Carrelage travertin (opus / irrégulier);INSTALLATION;20
Carrelage – Sols & Murs;;CAR-PACK-016;Carrelage extérieur XXL;INSTALLATION;20
Carrelage – Sols & Murs;;CAR-PACK-019;Zellige / Kitkat / faïence artisanale;INSTALLATION;20
Carrelage – Sols & Murs;;CAR-PACK-020;Carrelage sol standard interieur;INSTALLATION;20
Charpente bois – Ossature;;CHAR-PACK-001;Charpente traditionnelle complète;CHANGEMENT;20
Charpente bois – Ossature;;CHAR-PACK-002;Charpente fermettes industrielles;CHANGEMENT;21
Charpente bois – Ossature;;CHAR-PACK-003;Renfort charpente pour combles aménageables;CHANGEMENT;20
Charpente bois – Ossature;;CHAR-PACK-004;Remplacement éléments de charpente;CHANGEMENT;20
Charpente bois – Ossature;;CHAR-PACK-005;Plancher bois / solivage;CHANGEMENT;20
Charpente bois – Ossature;;CHAR-PACK-006;Ouverture trémie escalier;CHANGEMENT;20
Charpente bois – Ossature;;CHAR-PACK-007;Surélévation ossature bois + charpente;CHANGEMENT;20
Charpente bois – Ossature;;CHAR-PACK-008;Mur ossature bois (support bardage);CHANGEMENT;20
Charpente bois – Ossature;;CHAR-PACK-009;Carport / auvent bois;CHANGEMENT;20
Charpente bois – Ossature;;CHAR-PACK-010;Traitement charpente (préventif / curatif);FINITIONS;20
Charpente métallique;;MET-PACK-004;Reprise de charge métallique;CHANGEMENT;20
Charpente métallique;;MET-PACK-006;Escalier métallique;CHANGEMENT;20
Charpente métallique;;MET-PACK-007;Garde-corps acier;CHANGEMENT;20
Charpente métallique;;MET-PACK-008;Bardage métallique + ossature secondaire;CHANGEMENT;20
Charpente métallique;;MET-PACK-010;Dépose / remplacement structure acier;DEMOLITION;20
Charpente métallique;;MET-PACK-001;Structure acier complète (ossature bâtiment);INSTALLATION;20
Charpente métallique;;MET-PACK-002;Mezzanine acier;INSTALLATION;20
Charpente métallique;;MET-PACK-003;Pose poutre acier grande portée;INSTALLATION;20
Charpente métallique;;MET-PACK-005;Auvent / Carport acier;INSTALLATION;20
Charpente métallique;;MET-PACK-009;Structure acier support photovoltaïque;INSTALLATION;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-001;Radiateur eau chaude (fourniture + pose);CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-002;Chaudière gaz murale;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-003;Chaudière électrique;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-004;Réseau chauffage multicouche;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-005;Nourrices chauffage;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-007;Sèche-serviette électrique;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-008;Déplacement réseau chauffage;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-012;Sous-station chauffage / ECS;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-013;Colonnes montantes chauffage;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-014;Groupe de sécurité chauffage + équilibrage;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-015;Réseaux chauffage acier (DN25 à DN80);CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-017;Chaudière gaz accumulation 9–11 kW;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-018;Chaudière gaz accumulation 14–17 kW;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-019;Chaudière gaz accumulation 19–21 kW;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-020;Chaudière gaz accumulation 24 kW;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-021;Ballon d'eau chaude 100 L;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-022;Ballon d'eau chaude 150–200 L;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-023;Ballon d'eau chaude 250 L;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-024;Ballon d'eau chaude 300 L;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-026;Chaudière gaz ventouse;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-027;Chaudière gaz cheminée;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-028;Chaudière fioul (remplacement);CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-029;Chaudière gaz micro-accumulation;CHANGEMENT;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-016;Désembouage réseau collectif;ENTRETIEN;20
